GEOG,CA,AREA
ROGERS PARK,1,51259902.4506
NORWOOD PARK,10,121959105.47
JEFFERSON PARK,11,64868161.6818
FOREST GLEN,12,89130893.6364
NORTH PARK,13,70288706.4343
ALBANY PARK,14,53542230.8191
PORTAGE PARK,15,110196097.139
IRVING PARK,16,89611382.3106
DUNNING,17,103595001.175
MONTCLARE,18,27576393.6325
BELMONT CRAGIN,19,109099414.689
WEST RIDGE,2,98429094.8621
HERMOSA,20,32602059.4055
AVONDALE,21,55290595.473
LOGAN SQUARE,22,100057566.7
HUMBOLDT PARK,23,100480876.502
WEST TOWN,24,127562904.597
AUSTIN,25,199254203.427
WEST GARFIELD PARK,26,36092488.8151
EAST GARFIELD PARK,27,53883220.8462
NEAR WEST SIDE,28,158492466.554
NORTH LAWNDALE,29,89487422.0242
UPTOWN,3,65095642.7289
SOUTH LAWNDALE,30,127998297.867
LOWER WEST SIDE,31,81550723.6371
LOOP,32,46335565.4586
NEAR SOUTH SIDE,33,49769639.4541
ARMOUR SQUARE,34,27766196.0954
DOUGLAS,35,46004621.1581
OAKLAND,36,16913961.0408
FULLER PARK,37,19916704.8692
GRAND BOULEVARD,38,48942503.1554
KENWOOD,39,29071741.9283
LINCOLN SQUARE,4,71352328.2399
WASHINGTON PARK,40,42378381.4842
HYDE PARK,41,45105380.1732
WOODLAWN,42,57815719.512
SOUTH SHORE,43,81812716.3958
CHATHAM,44,82320670.3112
GREATER GRAND CROSSING,69,98853167.7093
LINCOLN PARK,7,88316400.4728
ASHBURN,70,135460337.208
AUBURN GRESHAM,71,105065353.602
BEVERLY,72,88779363.9384
WASHINGTON HEIGHTS,73,79635752.8769
MOUNT GREENWOOD,74,75584290.0209
MORGAN PARK,75,91877340.6988
OHARE,76,371835607.687
EDGEWATER,77,48449990.8397
NEAR NORTH SIDE,8,76675895.9728
EDISON PARK,9,31636313.7864
AVALON PARK,45,34852737.7366
SOUTH CHICAGO,46,93272185.0092
BURNSIDE,47,16995983.2737
CALUMET HEIGHTS,48,48826241.5643
ROSELAND,49,134313706.73
NORTH CENTER,5,57054167.85
PULLMAN,50,59001555.602
SOUTH DEERING,51,303797059.66
EAST SIDE,52,83241728.0493
WEST PULLMAN,53,99365198.0822
RIVERDALE,54,98389497.4143
HEGEWISCH,55,145965741.437
GARFIELD RIDGE,56,117890778.429
ARCHER HEIGHTS,57,55922505.7212
BRIGHTON PARK,58,75892790.3114
MCKINLEY PARK,59,39431799.6479
LAKE VIEW,6,87214799.2728
BRIDGEPORT,60,58291519.2767
NEW CITY,61,134636963.254
WEST ELSDON,62,32711091.4259
GAGE PARK,63,61284896.1132
CLEARING,64,71145192.3827
WEST LAWN,65,82315301.6831
CHICAGO LAWN,66,98279465.1151
WEST ENGLEWOOD,67,87947691.9478
ENGLEWOOD,68,85652323.0826